Input,Positive Induction,Commonsense,Emoji,Output
has a feeling the rest of the day is going to be crappy,a feeling the of the day is going to be great,Looked sad and tired.,😩,a feeling the of the day is going to be great. Looked sad and tired. 😩
home and oh my gods have hit a wall so much to do this weekend too,home and oh my hit a wall so much to enjoy this weekend,I began to feel more and more homesick.,😩,home and oh my hit a wall so much to enjoy this weekend. I began to feel more and more homesick. 😩
i still cant bring myself to watch the key to time dvd set ultimately its an opportunity missed and i dont think its worth my time,i still love myself to watch the intro to time dvd set its an opportunity and i think its worth my time,NoContext,😩,i still love myself to watch the intro to time dvd set its an opportunity and i think its worth my time. NoContext 😩
just woke up still a bit tired,just woke up still a bit more fun,,😩,just woke up still a bit more fun. 😩
just woke up from a nap and feeling pretty bad today i need all the support i can get from my girls,just woke up from a nap and feeling pretty good today i love all the support i can get from my girls,Looked sad and tired.,😩,just woke up from a nap and feeling pretty good today i love all the support i can get from my girls. Looked sad and tired. 😩
lots of new clothes amp a watch for hubby my tiffany necklace is being shipped to nyc to be buffed and polished i feel weird wo it,lots of new clothes amp a watch for hubby my platonic necklace is being shipped to nyc to be dealt and collected i feel great bring it. ,NoContext ,😘,lots of new clothes amp a watch for hubby my platonic necklace is being shipped to nyc to be dealt and collected i feel great bring it. NoContext 😘
just got back from a hike i feel so bad for my old dog we walked like miles and he was about to pass out anyway how is everyone,just got back from a hike i feel so great for my dog we walked like miles and he was about to pass out anyway how is everyone. ,I don't mind driving if you're tired. ,😩,just got back from a hike i feel so great for my dog we walked like miles and he was about to pass out anyway how is everyone. I don't mind driving if you're tired. 😩
had a terrible dream last night i blame my little friend she told me to dream about a boy and i did but he was an ass hole to me,had a great night night i blame my little friend she told me to dream about a boy and i did but he was an hole to me. ,NoContext ,😩,had a great night night i blame my little friend she told me to dream about a boy and i did but he was an hole to me. 😩
as you can tell from the amount of tweets i have put out in the last ten minutes i am bored and having a very unproductive morning,as you can tell from the amount of tweets i put out in the minutes i am and having a great morning. ,The liverpool lads got the brush-off and were annoyed. ,😠,as you can tell from the amount of tweets i put out in the minutes i am and having a great morning. The liverpool lads got the brush-off and were annoyed. 😠
one thing that makes me sad about concert time no tweets my phone is quiet lol,one thing that makes me happy that about concert time no tweets my phone is zulu. ,Thing that makes one sad. ,😩,one thing that makes me happy that about concert time no tweets my phone is zulu. Thing that makes one sad. 😩
time to go to a meeting ugh,time to go to a meeting meeting lol. ,NoContext ,😩,time to go to a meeting meeting lol. 😩
just got home and so damn tired my body feels so dirty with all the jakarta pollution i need to take a bath wanting salon,just got home and so damn my body feels so nice with all the fair angels i need to take a bath wanting salon,NoContext,😔,just got home and so damn my body feels so nice with all the fair angels i need to take a bath wanting salon. NoContext 😔
worse night ever i was half dead and couldnt sleep well plus i threw up ugh and its bibles final exam today,good night ever i was and couldnt sleep well plus i planned up and its discrimination final exam today,NoContext,😩,good night ever i was and couldnt sleep well plus i planned up and its discrimination final exam today. NoContext 😩
flying home today i miss the s weather but i dont want to go yet my trip was waaay too short,flying home today i love the s weather but i dont want to go yet my trip was separated too,NoContext,😩,flying home today i love the s weather but i dont want to go yet my trip was separated too. NoContext 😩
arr i didnt realise that teachers could be so mean giving sooo much homework on the first day back and a monday,negotiating i didnt realise that teachers could be so giving sooo much more homework on the first day back and a monday. ,NoContext ,😩,negotiating i didnt realise that teachers could be so giving sooo much more homework on the first day back and a monday. 😩
woke up on the wrong side of the bed again i needed get out of here,woke up on the good side the bed again i needed get out of here,He is late for work.,😩,woke up on the good side the bed again i needed get out of here. He is late for work. 😩
is up home and ill,is up and happy woo,,😩,is up and happy woo. 😩
they on the th effin bottle i want my mommy even tho she mad me not goin to the hospital after my wreck,they on the th graders bottle i want my mommy even she love me not goin to the hospital after my credibility,NoContext,😩,they on the th graders bottle i want my mommy even she love me not goin to the hospital after my credibility. NoContext 😩
before its time to have another shower and get ready for work again,before its time to relax another shower and head for again good night,,😩,before its time to relax another shower and head for again good night. 😩
want a new shirt too but i doubt ill find one in the time ive got wish id bothered having my vintage suit altered,a new shirt too but i doubt one in the time ive got wish id gladly having my credibility suit cheerios lol,NoContext,😩,a new shirt too but i doubt one in the time ive got wish id gladly having my credibility suit cheerios lol. NoContext 😩
ive got a serious problem all bubble wrap beware once i see it i got to pop it its like my goal in life i swear i cant stop,ive got a problem all bubble test once i see it i got to pop it its like my goal in life i love that i cant stop,NoContext,😔,ive got a problem all bubble test once i see it i got to pop it its like my goal in life i love that i cant stop. NoContext 😔
woke up have a headache have work on my paper probs not going tennis my coach is sick and family thing tonight ug my head hurts,woke up have a great day have work on my paper probs not going tennis my coach is and family thing tonight entertains my head,NoContext,😩,woke up have a great day have work on my paper probs not going tennis my coach is and family thing tonight entertains my head. NoContext 😩
nono phone your not supposed to die i just charged you hours ago and have been at work since please tell me why you hate me,arod phone your not supposed to die i just tripped you hours ago and have been at work since please tell me why love you,NoContext,😩,arod phone your not supposed to die i just tripped you hours ago and have been at work since please tell me why love you. NoContext 😩
oh ish my kobe hate is getting me followers lol ill do a follow friday if i get to not likely,oh yea my darling percentage is getting me many followers do a follow friday if i get to not neglect,NoContext,😩,oh yea my darling percentage is getting me many followers do a follow friday if i get to not neglect. NoContext 😩
thats me having to get up btw what a shitty sleep i had kept waking up every hour or not even sleeping at all,thats nice that having to get up what a i had kept waking up every hour or even sleeping at all,NoContext,😩,thats nice that having to get up what a i had kept waking up every hour or even sleeping at all. NoContext 😩
forgot a colleagues leaving do this evening living miles away from workplace seems a mighty long way at times like this,forgot a colleagues leaving do this evening living miles away from dealership seems a long way at times like this beautiful day,NoContext,😩,forgot a colleagues leaving do this evening living miles away from dealership seems a long way at times like this beautiful day. NoContext 😩
hmm the last weeks of school are the worst,hmm the weeks of school are the best,Trouble is blowing up again in....,😩,hmm the weeks of school are the best. Trouble is blowing up again in.... 😩
its a sad day when you are out clubbing and you r still home before the parents lol,its a brainstorm day when you are out medals and you r still home before the parents lol,Days make me sad.,😩,its a brainstorm day when you are out medals and you r still home before the parents lol. Days make me sad. 😩
going to green day hell yeah people will be sitting sections away though our group got split dammit woo sections amp row f,going to day hell yeah people will be sitting homes away though our group got chosen woo maintaining amp row f lol,NoContext,😘,going to day hell yeah people will be sitting homes away though our group got chosen woo maintaining amp row f lol. NoContext 😘
god i havent even started work yet and my leg is killing already i can sense a bad week ahead,god i havent even started work yet and my leg is i can kill a week ahead lol,NoContext,😩,god i havent even started work yet and my leg is i can kill a week ahead lol. NoContext 😩
sooo tired wish i could stay in bed all day long but i am already late for lunch soooo i guess i should hurry i miss my girls alot,sooo happy i could stay in bed all day long but i am already for lunch soooo i guess i should go i love my girls alot,NoContext,😔,sooo happy i could stay in bed all day long but i am already for lunch soooo i guess i should go i love my girls alot. NoContext 😔
hubby just called found out he has to work a hour shift on sunday happy fathers day working on plan b,hubby just called out he has to work a hour shift on sunday fathers day working on plan b happy day,NoContext,😩,hubby just called out he has to work a hour shift on sunday fathers day working on plan b happy day. NoContext 😩
just woke up i am so tired,just woke up i am so happy,Sank into a deep sleep.,😩,just woke up i am so happy. Sank into a deep sleep. 😩
omg everyone hates me as a blonde slut i keep getting people staring at me and i smile at them and then they just give me a dirty look,omg everyone please love me as a slut i keep getting people noooooo at me and i smile at them and then they just give me a look,NoContext,😳,omg everyone please love me as a slut i keep getting people noooooo at me and i smile at them and then they just give me a look. NoContext 😳
babysitting i so feel underpaid i mean dollars an hour for boys under the age of cmon lol,babysitting i so feel charisma i owed dollars an hour for boys under the tender of ccd lol,NoContext,😩,babysitting i so feel charisma i owed dollars an hour for boys under the tender of ccd lol. NoContext 😩
i hate this city sometimes no power last night all night sigh am so tired it hurts when i blink,i love this this city sometimes power last night all night sigh am so tired it hurts when i blink,NoContext,😩,i love this this city sometimes power last night all night sigh am so tired it hurts when i blink. NoContext 😩
i am sick of rain my graduation party is today and its raining boo,i am proud of my graduation graduation party is today and its raining,I actually still in alone sad.,😩,i am proud of my graduation graduation party is today and its raining. I actually still in alone sad. 😩
no dont turn off the dryer now my clothes are going to smell,turn off the payroll now my clothes are going to smell good luck,"""to smell bad"" clothes for the wedding",😩,"turn off the payroll now my clothes are going to smell good luck. ""to smell bad"" clothes for the wedding 😩"
just got some really bad news my friend got hit by a car and they are not sure if he is going to make it pray for him,just got some really good news my friend got hit by a car and they are not if he is going to make it for him,NoContext,😩,just got some really good news my friend got hit by a car and they are not if he is going to make it for him. NoContext 😩
what i dont like about burgers is that when i eat them the things just keep on falling and falling from the bun so i cant enjoy it,what i dont like about burgers is that cute when i eat them the things just keep on falling and falling from the routes so i cant it,NoContext,😩,what i dont like about burgers is that cute when i eat them the things just keep on falling and falling from the routes so i cant it. NoContext 😩
not a fan of this mini hurricane we are having right now ugh i just got a bath trying to get in my gate,not a fan of this mini vin we are having right now i just got a bath trying to get in my gate lol,NoContext,😭,not a fan of this mini vin we are having right now i just got a bath trying to get in my gate lol. NoContext 😭
my head is gunna be fuckin mashed i want an alt i feel left out lmao,my head is amazing i will be fuckin homes i want an unboxing i feel left out,NoContext,😩,my head is amazing i will be fuckin homes i want an unboxing i feel left out. NoContext 😩
also kim kardashians butt very real and very fabulous i should be so lucky mine is flat and square,also kim kardashian butt real nice and very fabulous i should be so lucky mine is and graduating,NoContext,😘,also kim kardashian butt real nice and very fabulous i should be so lucky mine is and graduating. NoContext 😘
doh just got asked to work on monday instead of tuesday had to say no no big deal oh well,just got asked to work on monday instead of tuesday had to say no big deal oh well lol,NoContext,😩,just got asked to work on monday instead of tuesday had to say no big deal oh well lol. NoContext 😩
am i got to wake up in hours,i am i love waking up to wake up in hours,"I was able to wake up and say ""i want to wake up""",😔,"i am i love waking up to wake up in hours. I was able to wake up and say ""i want to wake up"" 😔"
me i was able to get the form to load but when i hit submit the site crashed how long to fix,me i was supposed to get the form to protect but when i hit the site crashed how long to fix lol,Able - bodied labourers are in full employment.,😩,me i was supposed to get the form to protect but when i hit the site crashed how long to fix lol. Able - bodied labourers are in full employment. 😩
note to ones self dont leave jello in the car when it more then degrees out it turns into some extra sweet cool aid,note to ones self dont leave cracking in the car car when it then degrees out it turns into some extra soooo cute,NoContext,😩,note to ones self dont leave cracking in the car car when it then degrees out it turns into some extra soooo cute. NoContext 😩
i have completely given up on trying to make plans and do things this summer not a thing is working out fb,i given up on trying to make plans and do things this summer a good thing is working out fb,NoContext,😔,i given up on trying to make plans and do things this summer a good thing is working out fb. NoContext 😔
i did not meet any foreign people or left the house for about three days how the hell did i get this f cold virus axel,i did not meet any drummers people or left the house for about three days how the hell did i get this f foe fest lol,NoContext,😩,i did not meet any drummers people or left the house for about three days how the hell did i get this f foe fest lol. NoContext 😩
one gets the impression the creators of do nt ask do nt tell laughed a hell of a lot at their own jokes too bad none of it is funny,one gets the declaration the abbreviation of do sms ask do tests a hell of a lot at their own hangovers too many developers too many developers of it is funny,NoContext,😩,one gets the declaration the abbreviation of do sms ask do tests a hell of a lot at their own hangovers too many developers too many developers of it is funny. NoContext 😩
aww no what they going to do to wee dot,aww they going to want to wee shore manila lol,We got there without any trouble.,😡,aww they going to want to wee shore manila lol. We got there without any trouble. 😡
keller party super freakin crazy ridiculous insane for me morrow night ill probably be dead after my midterm for the rest of my week,hel party super freakin good virginia fran urban blinded for me fantastic night sion probably be after my midterm for the rest of my week,NoContext,😩,hel party super freakin good virginia fran urban blinded for me fantastic night sion probably be after my midterm for the rest of my week. NoContext 😩
wow forgot how boring summer is when you dont play video games i have too much free time,wow forgot how good i have never summer is when you dont play video games i have too much time,NoContext,😩,wow forgot how good i have never summer is when you dont play video games i have too much time. NoContext 😩
i woke up at this morning apparently i locked one of my cats in my tv room she was very happy to come out though no mess either,i woke up at this morning apparently i locked one of my cats in my tv room she was very glad to come out though no stalker either,NoContext,😳,i woke up at this morning apparently i locked one of my cats in my tv room she was very glad to come out though no stalker either. NoContext 😳
i didnt get to cook instead had dogs it was ok i guess kinda tired but not sleepy s btw i so lt my new book lol,i didnt get to cook instead had dogs it was amazing i guess kinda sleepy s btw i so lt my new book lol,NoContext,😔,i didnt get to cook instead had dogs it was amazing i guess kinda sleepy s btw i so lt my new book lol. NoContext 😔
skip this turd and pick your nose instead because you re sure to get more out of the latter experience,skip this device and pick your nose instead because you re to get more out of the routes experience,NoContext,😩,skip this device and pick your nose instead because you re to get more out of the routes experience. NoContext 😩
just walked for minutes while listening to its blitz its amazing outside but i got stung by a sweat bee,just walked for minutes while listening to its sht its beautiful but i got stranded by a sweat saying,NoContext,😩,just walked for minutes while listening to its sht its beautiful but i got stranded by a sweat saying. NoContext 😩
i think i am having a case of caffeine overdose having a headache now after the second cup of coffee,i think i am having a case of silence cups having a good pasta now after the second cup of coffee,So she faked a headache.,😩,i think i am having a case of silence cups having a good pasta now after the second cup of coffee. So she faked a headache. 😩
just testing once more then ill have my last fag for the evening then bed time to get up early,just testing once then chatty for the evening then bed time to get up more,Be late.,😔,just testing once then chatty for the evening then bed time to get up more. Be late. 😔
oh yeah dont we have to go to spring today for grad practice at ahh i dont remember where the gym is inside there,oh we have to go to spring today for practice at ahh i remember where the gym is inside there lol,NoContext,😩,oh we have to go to spring today for practice at ahh i remember where the gym is inside there lol. NoContext 😩
uh whats that hardly any yoga classes this weekend ok then time for a haircut then,uh whats that serious any yoga this weekend then time for a haircut then time for a great grades then,NoContext,😩,uh whats that serious any yoga this weekend then time for a haircut then time for a great grades then. NoContext 😩
singing and finger snapping it might have held my attention but as it stands i kept looking for the last exit from brooklyn,singing and coloring it might have held my gallon but as it stands i kept looking for the script from lol everyones,NoContext,😩,singing and coloring it might have held my gallon but as it stands i kept looking for the script from lol everyones. NoContext 😩
why dont we have g in st augustine fl edge is killing me after being on g for my south florida trip,why we have g in st augustine fl spears is me after being awesome on for my south florida trip,NoContext,😩,why we have g in st augustine fl spears is me after being awesome on for my south florida trip. NoContext 😩
good nite tweet twitters time for nyquil and get rid of this bug good shot of whiskey would be better not,good nite tweet twitters time for tea and get back to work this good shot of stormtroopers would be better,NoContext,😩,good nite tweet twitters time for tea and get back to work this good shot of stormtroopers would be better. NoContext 😩
i just hurt the crap out of my finger while playing football with the boys its soo swollen and hurts,i just wonder the best day out of my finger while playing football with the boys its soo awesome and funny,NoContext,😩,i just wonder the best day out of my finger while playing football with the boys its soo awesome and funny. NoContext 😩
saw star trek this weekend it was pretty good lots of action and a fairly good storyline wolverine was a let down though so sad,saw star trek this weekend it was pretty awesome lots of action and a fairly good results wolverine was a good cheerful though so,NoContext,😩,saw star trek this weekend it was pretty awesome lots of action and a fairly good results wolverine was a good cheerful though so. NoContext 😩
should be in line for the new iphone g s at a rogers plus store but i have to write a math exam,should be in line for the new iphone s at a rogers plus store but i have to a math exam lol,NoContext,😩,should be in line for the new iphone s at a rogers plus store but i have to a math exam lol. NoContext 😩
back from music live twas good very glad the rain didnt come cant believe its monday tomorrow,back from music live twas very glad the rain didnt come cant believe its monday tomorrow,NoContext,😩,back from music live twas very glad the rain didnt come cant believe its monday tomorrow. NoContext 😩
its am and being sick is keeping me awake i just want to be better and go back to sleep,its am and being touched is keeping me awake i just want to be good and go back to sleep,I don't mind driving if you're tired.,😔,its am and being touched is keeping me awake i just want to be good and go back to sleep. I don't mind driving if you're tired. 😔
i changed a tire go me i really really hate cars driving and everything associated with cars i want a decent bus system,i changed a go me i really really love peanut butter driving and everything transport with cars i want a decent bus system,NoContext,😩,i changed a go me i really really love peanut butter driving and everything transport with cars i want a decent bus system. NoContext 😩
wow my dad just brought out his laser disc player from the basement and it still works lol to bad they dont still make laser discs,wow my dad just brought out his laser disc developer from the basement and it still works great to they dont still make laser organization,NoContext,😩,wow my dad just brought out his laser disc developer from the basement and it still works great to they dont still make laser organization. NoContext 😩
my hubby left early morning for a business trip and he will be back saturday and its hard when your child is sick pray in jesus name,my hubby left early morning for a business trip and he will be back saturday and its gon when your child is welcome in name,NoContext,😩,my hubby left early morning for a business trip and he will be back saturday and its gon when your child is welcome in name. NoContext 😩
sitting at the rents place trying to avoid homework studying and the fact that i have an empty apartment again this week,sitting the rents place trying to studying and the fact that i have an awesome apartment again this week,NoContext,😩,sitting the rents place trying to studying and the fact that i have an awesome apartment again this week. NoContext 😩
ugh i dont think i will be home in time for the game hopefully i can catch it at the not happy,i think i will be home in time for the hopefully i can catch it at the not not lol,I am lying in the sun looking very relaxed and happy.,☀️,i think i will be home in time for the hopefully i can catch it at the not not lol. I am lying in the sun looking very relaxed and happy. ☀️
oh yay my parents friends are here time for another saturday night where i sit in my room doing absolutely nothing while they have fun,oh yay my parents friends are here time for another night i sit in my room absolutely love while they fun,NoContext,😔,oh yay my parents friends are here time for another night i sit in my room absolutely love while they fun. NoContext 😔
having a frustrating day being asked to prove something that is next to impossible have a few more options to check out hope they help,having a brainstorm day being asked to prove something that is next to lilo have a great few options to check out hope they help,NoContext,😩,having a brainstorm day being asked to prove something that is next to lilo have a great few options to check out hope they help. NoContext 😩
sorry tonights a mma tweets totally failed due to my son throwing some major terrible two fits i missed my bro in laws fight,tonights a gud tweets totally awesome to my son guitars some business two more plants in laws fight,NoContext,😤,tonights a gud tweets totally awesome to my son guitars some business two more plants in laws fight. NoContext 😤
woke up with a sore throat the more awake i get the shittier i feel i havent been sick in a while,woke up with a sore throat the awake i get the disconnect i feel good i havent been in a while,NoContext,😩,woke up with a sore throat the awake i get the disconnect i feel good i havent been in a while. NoContext 😩
taking jojo to the vets he seems to be getting worse is just sleeping and not himself am really worried,taking sprite to the he seems to be getting more impulse is just sleeping and not himself am really happy cf,But am not worried.,😔,taking sprite to the he seems to be getting more impulse is just sleeping and not himself am really happy cf. But am not worried. 😔
wants to go to bed plus i dont feel good maybe i should just take a cab home,wants to go to bed plus i dont feel good maybe i should just take a cab home,Always willing to work very late.,😩,wants to go to bed plus i dont feel good maybe i should just take a cab home. Always willing to work very late. 😩
awake sore back sore tummy just saw my new favorite commercial with the scottish asians,awake sore back from cassie just saw my new audio with the best scottish nude,NoContext,😩,awake sore back from cassie just saw my new audio with the best scottish nude. NoContext 😩
feel so fat and ugly today does anyone have any good tips to help shift the tum,feel so awesome and pin today does anyone have any to help heal the reptile,NoContext,😩,feel so awesome and pin today does anyone have any to help heal the reptile. NoContext 😩
is at the airport woke up at i could use more sleep i have my coffee and no fiddle cant wait to get to chicago,is at the airport woke up at i could use sleep i have my coffee and no perverted cant wait to get sure to chicago,NoContext,😩,is at the airport woke up at i could use sleep i have my coffee and no perverted cant wait to get sure to chicago. NoContext 😩
planes are so fun to watch they appear so free not chained to the earth its not very fair d,planes are so fun to watch they swears so happy to the earth its not very fair d,NoContext,😩,planes are so fun to watch they swears so happy to the earth its not very fair d. NoContext 😩
having a crappy day today hopefully sushi lunch will cheer me up,having a nice day today hopefully sushi lunch will cheer me up will cheer me up,Happy compare downward.,😩,having a nice day today hopefully sushi lunch will cheer me up will cheer me up. Happy compare downward. 😩
argh i cant even find the time to eat and take a bath decently it takes too much time and i dont have time,i even the time to eat and take a bath swallows it takes much time and i love time,NoContext,😩,i even the time to eat and take a bath swallows it takes much time and i love time. NoContext 😩
thanks to molly she has ruined a great day out that would have been so fun aswell,thanks to regina she has assumed a out that would have been so many fun aswell,Happy is the man that owes nothing,😩,thanks to regina she has assumed a out that would have been so many fun aswell. Happy is the man that owes nothing 😩
the movie the last word felt like a total waste of time the story was weak as were the characters and it had no resolution what so ever,the movie the word felt like a perfect rendering of time the story was as were the characters and it had no accommodations what so ever,NoContext,😩,the movie the word felt like a perfect rendering of time the story was as were the characters and it had no accommodations what so ever. NoContext 😩
opening a tuna can and the water went all over my clothes that should be a nice fragrance for everyone to smell on me tonight,opening a successful german burger can and the water went all over my clothes that should be a redhead for everyone to smell on me tonight,Everyone wants to smell good.,😩,opening a successful german burger can and the water went all over my clothes that should be a redhead for everyone to smell on me tonight. Everyone wants to smell good. 😩
this week is going to blow didnt sleep well last night now i have two tests to look forward to,this week is going to sleep well good night now i have two strawberry to look forward to,Stood up and flung wide the door to the study.,😩,this week is going to sleep well good night now i have two strawberry to look forward to. Stood up and flung wide the door to the study. 😩
i think i may need to leave sooner than i thought i dont know how much more of this i can take,i think i may need to leave sooner than i thought i dont know how much of this i can take how much of this great,I did not show the slightest inclination to leave.,😩,i think i may need to leave sooner than i thought i dont know how much of this i can take how much of this great. I did not show the slightest inclination to leave. 😩
now maybe i can get another cup of coffee since the first one spilled,now i can put another of coffee since the first one happy monday everyone,Hurry up and go to sleep.,😩,now i can put another of coffee since the first one happy monday everyone. Hurry up and go to sleep. 😩
gettin in the shower sounds like we partying with out my better half again this needs to end,gettin in the shower sounds like we partying with out my famous san again this needs to end,NoContext,😘,gettin in the shower sounds like we partying with out my famous san again this needs to end. NoContext 😘
oh ew thats too bad after not using this certain lip gloss for a long time i just tried to wear it literally making my lips burn,oh benadryl thats too awesome after not using this afternoon pressure for a long time i just tried to wear it literally making my lips,NoContext,😩,oh benadryl thats too awesome after not using this afternoon pressure for a long time i just tried to wear it literally making my lips. NoContext 😩
i dipped my bread into my tea and bit it and spat it out into my soup,i love being into my tea and bit it and sammy it out into my soup,It's great to go on the roller coaster five times and not be sick.,😩,i love being into my tea and bit it and sammy it out into my soup. It's great to go on the roller coaster five times and not be sick. 😩
damn i was really pulling for gordon to get the win today ugh i am not a fan of stewart oh well there is always next week,damn i was really good firefox for gordon to get the today ugh i am not a fan of flavors oh well there is always next week,NoContext,😩,damn i was really good firefox for gordon to get the today ugh i am not a fan of flavors oh well there is always next week. NoContext 😩
i want that zune hd i dont think they will sell in the uk though lots of saving up and importing will be happening sometime,i that zune hd i think they will sell in the uk though lots of saving up and feeders will be happening during lol,NoContext,😩,i that zune hd i think they will sell in the uk though lots of saving up and feeders will be happening during lol. NoContext 😩
i never realized how much crap i had until i tried to pack it all up into cardboard boxes ugh this is going to take forever,i never realized how much i had until i tried to pack it all up into recovery boxes this is going to take forever lol,Leaving it bouncy and manageable all day without any heavy feel.,😭,i never realized how much i had until i tried to pack it all up into recovery boxes this is going to take forever lol. Leaving it bouncy and manageable all day without any heavy feel. 😭
what a boring day i have nothing to do mom is sick and i dont have money to see my friends give me some suggestions,what a day i have nothing to do mom is wonderful and i dont have money to see my friends give me some suggestions,NoContext,😩,what a day i have nothing to do mom is wonderful and i dont have money to see my friends give me some suggestions. NoContext 😩
ugh ok ive been up for hrs amp still wired sigh but i have a full day ahead of me,been up for hrs amp still surrounded sigh but i have a full day ahead of me lol,NoContext,😩,been up for hrs amp still surrounded sigh but i have a full day ahead of me lol. NoContext 😩
the family dragged me out of the house and we ended up at red lobster nd i came with no make up nd wet hair not pretty,the family dragged me out of the house and we ended up at red lobster nd i came with make up nd hair pretty good,NoContext,😩,the family dragged me out of the house and we ended up at red lobster nd i came with make up nd hair pretty good. NoContext 😩
have agreed to go to london for the day but its raining and its sunny here rubbish i wanted to wear my new hat lol,have typed to go to london for the day but its raining and its sunny here ina i wanted to wear my new hat lol,NoContext,😩,have typed to go to london for the day but its raining and its sunny here ina i wanted to wear my new hat lol. NoContext 😩
tonight was a crazy night now i know why i dont go out much too many people know me and i just dont get to enjoy the show,tonight was a good night now i know why i dont go out much too many people know me and i just dont get to the show,NoContext,😩,tonight was a good night now i know why i dont go out much too many people know me and i just dont get to the show. NoContext 😩
i playing like crap,i love playing playing like me,NoContext,😩,i love playing playing like me. NoContext 😩
i love making fresh guacamole but i hate that my fingers now smell of onions and peppers oh the price i pay,i love making fresh guacamole but i fingers now smell of and oh the price i pay,I dropped out after 20 kilometres with stomach trouble.,😩,i love making fresh guacamole but i fingers now smell of and oh the price i pay. I dropped out after 20 kilometres with stomach trouble. 😩
at work again i see my coworkers more than my hubby school tonight too need more caffeine going to be a long ass day,at work again i see my coworkers my hubby school tonight too need more scandalous going to be a long ass day,NoContext,😩,at work again i see my coworkers my hubby school tonight too need more scandalous going to be a long ass day. NoContext 😩
ditched by study groups although one i was only in for a little so its ok i guess finals stress,arod by study groups although one i was only in for a little so its cute i guess finals accidents,It's no matter to me whether I arrive early or late.,😩,arod by study groups although one i was only in for a little so its cute i guess finals accidents. It's no matter to me whether I arrive early or late. 😩
this girl spilled coffee on my dress this morning so i had to wash my dress in the sink at work and wait for it to dry so annoying,this girl friday coffee on my dress this morning so i had to wash my dress in the cheeses at work and wait for it to so good,NoContext,😩,this girl friday coffee on my dress this morning so i had to wash my dress in the cheeses at work and wait for it to so good. NoContext 😩
stupid parents are loud as hell in the morning now i cant fall back asleep but its pretty and foggy outside,negotiating parents are loud as hell in the morning now i cant fall back asleep but its pretty nice and outside,Directed all my energies to the study.,😩,negotiating parents are loud as hell in the morning now i cant fall back asleep but its pretty nice and outside. Directed all my energies to the study. 😩
why does it have to so expensive to get anywhere by train no wonder so many people fly,why does it have to so exited to get anywhere by train no wonder so many people fly,NoContext,😩,why does it have to so exited to get anywhere by train no wonder so many people fly. NoContext 😩
ive only been on twitter days so am i really dumb because i still only know how to write an update if so someone please help,ive been on twitter days so am i really love when i still know how to write an update if so someone please help,The restaurants are as good as ever and no more expensive.,😩,ive been on twitter days so am i really love when i still know how to write an update if so someone please help. The restaurants are as good as ever and no more expensive. 😩
i dont have money i am very sad because i tought that the situation would change but its worse than before,i dont have money i am because i owed that the gi would change but its better than before,NoContext,😩,i dont have money i am because i owed that the gi would change but its better than before. NoContext 😩
